,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,nio,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Nio Inc - ADR,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,9.27,,+0.53,+6.06%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"107,228M",-,1.93,,,
,,,,,,70 Months
,,,,,,
,,,,,,
,nio,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Sep 13, 2019",3.22,3.27,3.15,3.21,"8,371,663"
,"Sep 16, 2019",3.15,3.21,3.09,3.12,"12,374,938"
,"Sep 17, 2019",3.11,3.18,3.00,3.18,"13,011,822"
,"Sep 18, 2019",3.21,3.21,3.03,3.08,"12,582,923"
,"Sep 19, 2019",3.12,3.16,3.08,3.10,"8,838,966"
,"Sep 20, 2019",3.14,3.16,3.02,3.04,"12,053,844"
,"Sep 23, 2019",2.98,2.98,2.71,2.72,"40,587,553"
,"Sep 24, 2019",2.22,2.24,1.97,2.17,"122,304,157"
,"Sep 25, 2019",2.15,2.15,2.02,2.05,"39,271,995"
,"Sep 26, 2019",2.05,2.06,1.90,1.96,"52,898,703"
,"Sep 27, 2019",1.94,2.00,1.71,1.75,"59,980,823"
,"Sep 30, 2019",1.72,1.73,1.53,1.56,"58,965,484"
,"Oct 1, 2019",1.51,1.51,1.22,1.32,"88,303,453"
,"Oct 2, 2019",1.19,1.65,1.19,1.59,"99,492,149"
,"Oct 3, 2019",1.59,1.70,1.43,1.64,"58,718,147"
,"Oct 4, 2019",1.60,1.69,1.56,1.62,"25,306,865"
,"Oct 7, 2019",1.58,1.59,1.45,1.55,"26,931,904"
,"Oct 8, 2019",1.73,1.80,1.66,1.70,"47,246,745"
,"Oct 9, 2019",1.75,1.76,1.58,1.64,"35,977,235"
,"Oct 10, 2019",1.64,1.64,1.50,1.53,"34,066,323"
,"Oct 11, 2019",1.55,1.59,1.50,1.56,"25,706,738"
,"Oct 14, 2019",1.56,1.57,1.52,1.53,"12,597,397"
,"Oct 15, 2019",1.63,1.64,1.54,1.55,"27,705,187"
,"Oct 16, 2019",1.46,1.52,1.40,1.46,"40,843,013"
,"Oct 17, 2019",1.46,1.50,1.42,1.46,"18,386,078"
,"Oct 18, 2019",1.45,1.55,1.44,1.52,"21,500,327"
,"Oct 21, 2019",1.52,1.77,1.49,1.69,"40,265,126"
,"Oct 22, 2019",1.70,1.77,1.52,1.58,"39,052,416"
,"Oct 23, 2019",1.58,1.60,1.52,1.53,"12,847,715"
,"Oct 24, 2019",1.57,1.60,1.53,1.54,"21,615,931"
,"Oct 25, 2019",1.54,1.56,1.50,1.51,"20,583,465"
,"Oct 28, 2019",1.43,1.50,1.38,1.48,"32,759,838"
,"Oct 29, 2019",1.45,1.45,1.39,1.39,"22,390,431"
,"Oct 30, 2019",1.42,1.45,1.36,1.43,"20,881,217"
,"Oct 31, 2019",1.47,1.54,1.44,1.45,"22,415,770"
,"Nov 1, 2019",1.49,1.55,1.49,1.52,"18,037,448"
,"Nov 4, 2019",1.65,1.90,1.58,1.71,"61,267,351"
,"Nov 5, 2019",1.88,2.38,1.80,2.34,"184,641,152"
,"Nov 6, 2019",2.46,2.46,1.96,2.03,"114,179,516"
,"Nov 7, 2019",2.11,2.20,2.05,2.07,"39,588,769"
,"Nov 8, 2019",2.13,2.13,1.94,1.98,"38,420,906"
,"Nov 11, 2019",1.90,1.96,1.78,1.86,"34,365,566"
,"Nov 12, 2019",1.90,2.05,1.83,1.94,"27,818,014"
,"Nov 13, 2019",1.90,1.99,1.85,1.90,"25,129,674"
,"Nov 14, 2019",1.86,1.89,1.66,1.75,"46,805,706"
,"Nov 15, 2019",1.75,1.84,1.66,1.80,"32,267,866"
,"Nov 18, 2019",1.88,1.90,1.73,1.80,"26,550,709"
